case,GT_sub_fat_vol,GT_muscle_vol,JF_sub_fat_vol,JF_vis_fat_vol,JF_muscle_vol,TS_sub_fat_vol,TS_vis_fat_vol,TS_muscle_vol
case_200,1030.0005428123475,936.1115837287903,854.1411712646485,8055.1111137390135,874.6583113098145,917.8433065795898,7871.438330497742,693.597110786438
case_201,1335.1221103326254,1643.2393991869822,1164.6372328511402,5363.0990821859305,1406.9146356178458,1336.0961252235045,5459.849272160022,1234.094469422085
case_202,1009.2673988342285,1003.0621166229248,894.6505699157715,4511.505781173706,943.0563507080078,995.9592437744141,4459.647024154663,763.3687801361084
case_203,1212.7214819757971,2145.8684098826734,917.3791048621011,530.0821458932086,2008.9327273021152,1017.879130795858,918.8080151834341,1856.1825252610518
case_204,1377.0023231506348,2258.4654121398926,1112.3261337280273,6788.993955612183,2061.5790309906006,1307.6382446289062,6826.494291305542,1859.258050918579
case_205,1570.046485900879,1846.1671981811523,1328.089012145996,3918.9564208984375,1677.2266235351562,1462.9049072265625,4065.293182373047,1487.2962036132812
case_206,1626.5205842590333,2584.8171730041504,1414.3566777038575,6806.044920730591,2337.8101924133302,1562.9653231811524,6752.366310501099,2137.6039166259766
case_207,1828.9471130371094,1010.4080810546875,1686.8857192993164,5157.378692626953,869.4162139892578,1890.3460159301758,5102.550315856934,638.1562957763672
case_208,1374.662109375,971.77587890625,1234.26123046875,2878.1015625,889.734375,1343.197265625,2956.1220703125,746.9912109375
case_209,939.7529296875,777.0146484375,812.9091796875,4493.58837890625,693.02197265625,904.2890625,4491.19775390625,535.9921875
case_210,2711.8887672424316,2364.457136154175,2449.38330078125,7903.370441436768,2033.1001472473145,2784.4609451293945,7846.6401443481445,1705.4743938446045
case_211,403.4807551574707,525.6980395126343,261.3347624015808,1116.056834640503,511.29292896270755,318.2079087638855,1393.224927597046,405.89225915908816
case_212,2194.707916870117,2388.637892456055,1917.4370183563233,13188.11806251526,2104.952931289673,2246.6348275756836,13221.15188156128,1713.9790411376953
case_213,1260.944658203125,2695.071403503418,925.0790299034119,1998.5756810379028,2550.069795036316,1060.5092959403992,2413.4000043678284,2364.092300128937
case_214,2263.49560546875,1592.81982421875,2072.41259765625,6565.921875,1494.24169921875,2274.521484375,6433.4619140625,1191.22119140625
case_215,2171.02516057899,2048.103665733038,1898.0567602881342,4546.559037868643,1887.7380272819703,2069.8554230412387,4712.489539359457,1678.5644520397661
case_216,1670.4986572265625,1808.9447021484375,1357.7972412109375,8364.73388671875,1668.682861328125,1558.0413818359375,8353.506469726562,1415.8355712890625
case_217,2274.7802734375,1317.9826736450195,2060.360908508301,8260.741233825684,1209.115982055664,2282.724380493164,8075.53768157959,884.7188949584961
case_218,1332.4125709533691,2114.9259452819824,1060.746992111206,1654.881814956665,1935.6944904327393,1228.539499282837,2206.016870498657,1720.6347312927246
case_219,2363.1945819854736,2002.1428833007812,2036.1789455413818,5749.322542190552,1821.1250610351562,2198.001007080078,5849.46636390686,1612.2499332427979
case_220,899.3427429199219,966.4060363769531,817.0697021484375,3376.5564880371094,921.73095703125,813.6930541992188,3412.599609375,723.2552490234375
case_221,3680.713141349183,3015.380086607735,3447.8212335501075,7235.06099666185,2582.0968025267603,3784.3593559960837,6945.369547253474,2303.293515591806
case_222,265.4574279785156,665.3108825683594,149.39566040039062,360.7945861816406,626.5980834960938,186.00979614257812,556.7242126464844,575.1153259277344
case_223,810.5340600013733,1040.2518510818481,615.8727407455444,2650.974690914154,995.1639175415039,696.5938210487366,2814.0610456466675,838.8152718544006
case_224,1920.0707820129394,1438.472281513214,1698.975964717865,8296.180516376495,1323.9821319580078,1898.3150111961365,8066.699551753998,991.1322822570801
