case,GT_sub_fat_mean_hu,GT_muscle_mean_hu,JF_sub_fat_mean_hu,JF_vis_fat_mean_hu,JF_muscle_mean_hu,TS_sub_fat_mean_hu,TS_vis_fat_mean_hu,TS_muscle_mean_hu
case_590,-81.76426258733005,6.606216454525624,-88.03428682655314,-18.401367758045282,16.820169852212114,-81.86655369410141,-18.24748077570898,23.954695862472388
case_591,-63.59837243059891,25.56622082845304,-76.64088628326431,-20.966462098605557,34.4662597516259,-71.65551096640671,-19.731022222222222,37.60394252464078
case_592,-77.58144500659178,20.27247083813364,-86.12878169440931,-20.478395860775326,39.04648680799725,-81.11100756967542,-20.067709987012897,43.333540982284106
case_593,-91.12222180060782,5.546760118382185,-99.14074405528281,-21.588986286236803,18.051143548398887,-91.01124566655416,-20.774436623823632,28.024015301505255
case_594,-57.55328679837341,23.575134866613475,-81.1543757250906,-19.078942653333183,28.02411870249471,-75.41023129581217,-18.449461837941598,31.621174888538473
case_595,-83.36278462008953,2.869763162253179,-94.84954704900726,-21.782166099414493,29.774691655889903,-88.78616204219095,-21.979235452023865,36.68145063930934
case_596,-89.97781020039908,26.32213968175906,-96.39772183671288,-20.651048288419325,36.44825642779045,-90.12370834006975,-20.209146324644877,38.903866712157395
case_597,-83.67952850516873,24.934281784578356,-92.62564394755721,-19.94506469293809,34.95437836943483,-87.68870349084992,-18.962983240845567,38.73555412822609
case_598,-84.66438083783548,34.23603299664685,-79.81862599366639,-20.753870342608504,47.9747984321674,-73.5517000923216,-19.81376620108217,48.53527946062146
case_599,-85.38111658716701,25.90538951082733,-85.4360078726616,-17.180904399933418,36.17633730715986,-78.16588415568495,-15.953798418797756,42.43031633843409
case_600,-111.91092842178153,16.34042366922058,-104.20031044884547,-17.710957377857056,29.57035172685556,-100.33861389771167,-16.757613518497177,32.013451569917834
case_601,-107.95453487985642,6.481404619229206,-99.07733298674292,-17.272424695699023,19.93879906102669,-93.11778063676101,-15.73362936511617,22.699900488251885
case_602,-111.81969502456242,1.3339351344380683,-104.63677181233591,-18.3487159457961,13.77216572398012,-101.14519708704196,-17.00261949465912,17.382126603799012
case_603,-103.69079545313065,-1.0395602208083545,-97.54524496076266,-17.905565099242324,14.48260142696619,-93.44916079420264,-16.166440440695926,18.200936540766325
case_604,-106.05738347377064,19.184630541414077,-103.55511851357956,-16.31097112323873,34.74831568301128,-100.52186084873863,-14.226516957625163,37.08448389407524
case_605,-116.00593148878207,24.16538446619516,-71.03591489587197,-12.135315619288626,32.97260640013268,-63.89250688991732,-8.822946703544597,32.12343412666606
case_606,-101.18301086362341,24.763385978038865,-87.77092481435228,-15.291848666084269,32.46190625102867,-80.71892559361972,-11.963921702418014,31.97807450857039
case_607,-100.93475517557096,13.250876592576581,-99.37095283262913,-17.486822847977976,26.858255247130167,-96.1750065454382,-16.974353084422447,34.43718920648891
case_608,-97.90146966302783,16.74001477524578,-100.93386502628661,-17.1173344435258,31.388132415601444,-98.08067486356833,-16.170342119939846,35.01766944258007
case_609,-96.95086890263424,3.76540554120575,-92.91801605722078,-17.26140722818259,22.03560593346157,-89.88700154214479,-16.92776079389876,26.12730999537732
case_610,-99.97843303058947,3.9535741316285287,-104.20627497630156,-18.08782740884779,20.521116160698053,-100.87048742511266,-16.43864907672875,25.371099218808247
case_611,-100.73475496136838,8.42327121800777,-101.60779928191816,-18.13769173746935,25.50490314404683,-98.42210275362015,-17.252167296620225,29.034316079052203
case_612,-107.91612393996705,29.371192031751768,-91.71565779827581,-14.926910843689543,41.18493902791423,-86.74710902154095,-12.819632474642448,42.21283449878732
case_613,-85.37281272403813,-2.041130439420608,-87.72279101493275,-15.143873496071933,13.059083859025103,-82.64760264567886,-14.142911484846147,20.149420372835227
case_614,-101.08190434724362,2.3940393075983435,-102.56874544176733,-18.008544733726872,20.362846279196088,-98.70889680924934,-17.189339164901252,24.262809094719195
case_615,-96.84228092359743,6.386184998564598,-92.91843419547446,-15.98768901215798,21.722941171243487,-89.44359033647629,-13.897781080956833,24.82968379795332
case_616,-103.10549679496664,13.581707026758716,-101.57710587610285,-18.159267574580213,26.504284904559004,-98.43103229969938,-17.014256928781162,29.739939440239766
case_617,-86.89577767994818,-1.421589369926938,-96.7984968293089,-16.51531102664376,12.992030603453506,-93.59254937184538,-16.046225895469302,19.892658869556833
case_618,-105.12521566025215,0.9299089741958616,-103.2857100456621,-16.905495215270342,14.849299226442813,-99.21964618697719,-15.333999717766593,18.653656394114634
case_619,-104.90302483309664,7.330830737901294,-98.30780386515951,-17.23987768773841,22.76570199866051,-94.2863906332703,-16.089487073547776,26.23544473105952
case_620,-105.3876803326719,15.769132628370613,-107.31436506834368,-18.05792867263381,27.547605043853547,-104.69920789320908,-17.476985071852003,32.79790540511251
case_621,-99.68032757844016,11.154795250455841,-91.8188540606316,-15.321779912075383,23.323636906477784,-87.46071791753593,-12.943757486765332,24.374464929010383
case_622,-99.72567821129505,17.781434263188533,-74.82210657046544,-12.653388575733175,28.345982328154417,-68.82493122334115,-9.434664622356701,30.469154873430337
case_623,-102.7204895360984,0.06001117091060241,-100.55398207000809,-19.526710056151096,16.38007403591326,-96.53806910908646,-19.464067386431697,22.358942501397753
case_624,-105.14579668667861,-0.6177063415467174,-101.07628081825635,-17.177073170731706,12.18459134007115,-98.59361246076674,-16.515242588712223,15.051180870679621
