case,dice_fat,dice_muscle
case_233,0.8499974104317674,0.828956027696353
case_234,0.8964986367819453,0.8885407784894211
case_235,0.8475556189339404,0.8422852585799201
case_236,0.8797455084864659,0.8222881273493252
case_237,0.910655334006271,0.8558976420919613
case_238,0.8405537097077709,0.8874035202207716
case_239,0.8839480275575867,0.8420178615066759
case_240,0.8320488421535297,0.8597010907485796
case_241,0.8190514353604482,0.7832087582062403
case_242,0.9125524892286218,0.8390569406147077
case_243,0.817838321453596,0.8020752745926075
case_244,0.8078592147120445,0.9096281535253851
case_245,0.8235776325560373,0.8630288407310961
case_246,0.8741373488493678,0.8729296644007083
case_247,0.7442413229147737,0.7989158083954191
case_248,0.6569425041772811,0.9113048116717223
case_249,0.8489875607593511,0.8652063180660525
case_250,0.9055332843731143,0.8483572863223403
case_251,0.8293777618463819,0.7294462095523103
case_252,0.7710707846024053,0.9141360913208643
case_253,0.8435120587965962,0.8462801052026184
case_254,0.8569349283937022,0.7785038589908714
case_255,0.8426245616868914,0.8636448600738201
case_256,0.8522244144461121,0.8918668113186764
case_257,0.8651899038047796,0.8388030777016148
case_258,0.5757582644346367,0.8802854912698166
case_259,0.835230952683603,0.8701964152992306
case_260,0.8618066799372651,0.8780464196283905
case_261,0.854586993932497,0.8111128750595332
case_262,0.8415244306944505,0.8793928638208115
case_263,0.8710382704461291,0.7954703348617479
case_264,0.8885091443652908,0.850825732988381
case_265,0.8040697117899653,0.8150849972985973
case_266,0.8968056121272786,0.8083042920029347
case_267,0.7043844305223218,0.8993381395705018
case_268,0.8888586493099337,0.8914678502566572
case_269,0.8590605204128395,0.8567493675481287
case_270,0.8563901692506696,0.8976672836571379
case_271,0.8335448100487483,0.8580373541295809
case_272,0.904128248236927,0.8552315397722533
case_273,0.853504325153031,0.8832290773466843
case_274,0.8458885665964342,0.9007395084854755
case_275,0.8794314581805018,0.8325098971385342
case_276,0.8799187788825095,0.8708897510474193
case_277,0.7331131252807652,0.9155691954198443
case_278,0.6043346596711152,0.894345023841183
case_279,0.8615789876030425,0.8839736795219071
case_280,0.8416622286950189,0.8258578274486844
case_281,0.8996801901539775,0.7996092296551643
case_282,0.7824142290508472,0.8373717436220321
case_283,0.8195122585510789,0.8463371259579401
case_284,0.8004825404163717,0.8692276198138408
case_285,0.8154054656580885,0.8637636789366092
case_286,0.9169790674583072,0.8567898888149768
case_287,0.8563978465646621,0.8917760517957025
case_288,0.8644273573452044,0.8916622835030243
case_289,0.8336162406564465,0.8713856667127688
case_290,0.837275425494105,0.8565259854767093
case_291,0.865678872287663,0.8432002373104228
case_292,0.7830942490999502,0.8061100012375582
case_293,0.8742852951396736,0.8940258084562174
case_294,0.7902743647053686,0.8104244104244104
case_295,0.8624761414570332,0.8895553523726616
case_296,0.680725039711392,0.9104137059225351
case_297,0.8821198288667147,0.8241531175775351
case_298,0.865681640763608,0.8001866177587619
case_299,0.8861295582709187,0.8931636800278309
case_300,0.8871025769397108,0.8325626978622949
case_301,0.8258311550295563,0.6655796906574873
case_302,0.8171264434431099,0.8168546726361688
case_303,0.8277775768254936,0.723585893481683
case_304,0.8078297941825875,0.7159845300735024
case_305,0.7283012853174883,0.8856060606060606
