case,subcutaneous_fat,muscle,visceral_fat
case_202,0.9149943023431566,0.845752965546928,0.9173166154252481
case_203,0.9036000845579436,0.894986559451653,0.6628537203897032
case_204,0.8722200268865937,0.872042616389374,0.9199851648648897
case_205,0.9092368421567,0.8724754817363425,0.8905792415898962
case_206,0.9085234196950976,0.8898539285303585,0.9157805378376106
case_207,0.9081780007644545,0.8026630027453593,0.9268210413390182
case_208,0.9314881949507645,0.8717994354593493,0.9192298981802163
case_209,0.9119977353704148,0.819202778926235,0.9187802113938859
case_210,0.8944890301718004,0.8380997675460358,0.922755492839868
case_211,0.8532881915434911,0.8101241348848615,0.8255306773458558
case_212,0.8740225638777335,0.8263005762801919,0.9291273487779204
case_213,0.8809276154015295,0.8956343203652724,0.8564981551799329
case_214,0.9252985979861342,0.8473573622378954,0.9285817695306289
case_215,0.9181716000699581,0.8786154123614326,0.8931801487722966
case_216,0.895635313770802,0.8555663671682614,0.9208434036703437
case_217,0.9204073936163133,0.8005368846291545,0.9273418169924407
case_218,0.8873972004572813,0.8713516742074539,0.8043220828894543
case_219,0.9312746021843297,0.8724278457002872,0.9166128327096683
case_220,0.9092634014148616,0.8263171063209872,0.9073598847591884
case_221,0.9160426571843348,0.8613890769987637,0.9023432665889612
case_222,0.8039387049334891,0.8711459510304869,0.6736094656554744
case_223,0.8983092018909465,0.8607276509367935,0.894991826295076
case_224,0.9132558605719346,0.8128220506657894,0.9139096084322833
case_225,0.9001847511079474,0.8739196982717456,0.9150335662700649
case_226,0.9299198939933405,0.8801728753458694,0.933212632064296
case_227,0.9358051827318823,0.8695825895434669,0.8971624420925611
case_228,0.9146700936058276,0.8527692226055364,0.9253020960187948
case_229,0.9020641181109003,0.8549941672768819,0.832550164864808
case_230,0.9418763048593264,0.8722598760907175,0.7490473781906772
case_231,0.9285029246770464,0.8798928340646861,0.9327797689470532
case_232,0.9102350523370378,0.8885177781120431,0.8871384876269385
case_233,0.8966778958892225,0.8626434257602732,0.9257717293781617
case_234,0.9521576516720848,0.8774702688228609,0.9213568105921872
case_235,0.8907782664830279,0.8446120851998296,0.9054317049857399
case_236,0.9243552633338812,0.825279564095472,0.9245857656279358
case_237,0.9299065538034541,0.8521009754754678,0.9231600352062167
case_238,0.9077081960752669,0.8860307423834541,0.8630277184650876
case_239,0.9368394349457885,0.8402259825970863,0.9059980036493112
case_240,0.8948531176367325,0.8597631996995612,0.91929554598305
case_241,0.8722112693153437,0.8067110381076742,0.923203330463847
case_242,0.9465082086388916,0.8447065420810658,0.9220398794087918
case_243,0.8564745079687519,0.7804193513607312,0.8964692211271754
case_244,0.9180057749017366,0.8957576730853556,0.8070214947231629
case_245,0.8908382558298499,0.860672539099071,0.8873385253589543
case_246,0.9180404202235811,0.8823368108109871,0.9195917415336532
case_247,0.8703698740090137,0.8085167979810051,0.8057901954870746
case_248,0.8458805142102951,0.8785123401112479,0.7936414413784523
